fips,slope,sand_pct,silt_pct,clay_pct,organic_matter_pct,pH_soil,awc_soil,cec_soil
19109,4.74,37.72,38.725,23.555,5.363,6.863,0.19,23.865
19111,7.35,22.836,53.614,23.465,2.799,6.148,0.195,20.759
19113,7.58,28.82,51.13,20.05,2.879,6.276,0.182,18.583
19115,7.54,26.272,51.382,22.346,2.359,6.251,0.181,20.507
19117,9.21,19.208,51.346,29.446,2.151,6.061,0.186,23.276
19119,6.27,20.647,51.837,27.516,3.271,6.775,0.198,24.714
19121,9.68,17.976,53.22,28.804,2.608,6.182,0.195,23.254
19123,8.35,21.345,53.839,24.871,2.4,6.212,0.183,21.678
19125,7.48,16.903,55.918,27.177,2.627,6.189,0.189,22.959
19127,7.82,26.016,49.705,24.28,2.777,6.372,0.182,20.841
19129,8.04,11.077,61.261,27.662,2.573,6.847,0.2,23.633
19131,3.52,30.523,48.014,21.463,3.637,6.258,0.183,20.73
19133,6.5,13.856,57.449,28.695,2.286,7.242,0.192,24.692
19135,8.93,16.686,55.493,27.727,2.324,6.127,0.188,22.134
19137,8.84,15.265,54.917,29.818,2.729,6.229,0.198,24.013
19139,8.38,25.044,53.57,21.386,3.342,6.282,0.186,21.602
19141,6.88,24.912,48.485,26.603,3.582,6.759,0.202,24.336
19143,4.46,28.544,43.92,27.536,4.235,6.774,0.195,24.069
19145,8.53,16.972,53.084,29.944,2.893,6.213,0.196,24.35
19147,4.65,39.784,37.37,22.846,6.033,6.814,0.192,25.139
19149,8.63,12.159,62.478,25.363,2.651,7.007,0.209,22.599
19151,4.31,36.779,38.791,24.43,5.085,6.922,0.192,23.308
19153,7.56,29.783,45.794,24.423,3.783,6.457,0.189,22.308
19155,8.64,10.985,62.103,26.912,2.418,6.814,0.205,23.117
19157,9.24,18.656,55.321,26.023,2.323,6.197,0.182,22.241
19159,9.0,19.667,50.787,29.546,2.522,6.188,0.193,24.612
19161,6.21,25.041,47.731,27.227,4.555,6.653,0.198,25.252
19163,9.39,21.158,55.285,23.557,2.339,6.271,0.186,20.753
19165,10.23,8.122,63.894,27.984,2.27,6.425,0.212,22.617
19167,5.25,21.486,52.073,26.441,3.155,6.78,0.201,23.113
19169,6.47,42.436,34.527,23.038,4.429,6.678,0.184,22.166
19171,12.59,17.952,57.992,24.056,2.016,6.213,0.182,20.202
19173,8.1,15.161,54.656,30.184,2.822,6.161,0.2,25.093
19175,9.0,20.807,50.9,28.293,2.566,6.195,0.194,23.856
19177,8.12,19.145,55.033,25.822,1.921,6.064,0.188,20.288
19179,7.55,19.28,54.76,25.876,2.325,6.154,0.191,21.107
19181,8.88,17.21,54.584,28.207,2.58,6.173,0.192,23.687
19183,8.97,19.086,54.959,25.955,2.088,6.129,0.183,22.297
19185,8.6,19.906,50.86,29.233,2.383,6.176,0.188,24.063
19187,5.44,36.807,38.556,24.402,4.817,6.739,0.191,23.96
19189,5.99,36.294,38.902,24.804,7.744,6.628,0.199,29.961
19191,8.46,30.809,49.413,19.778,3.31,6.41,0.192,18.437
19193,6.52,16.878,56.529,26.592,2.531,7.001,0.196,23.034
19195,4.18,37.915,40.097,21.848,5.637,6.487,0.192,22.943
19197,5.9,36.102,38.38,25.518,5.738,6.81,0.192,25.466
