Stage,Model,MAE,RMSE,R2,MAPE
R1,NN_Fold_4,16.325739060374858,20.91868408907701,0.7653410986040121,16.401306708151818
R1,XGB_Fold_5,13.82646736866173,17.813849515957987,0.7609199016313084,11.62050096686747
R1,LGBM_Fold_5,13.908418854451131,17.93269147668868,0.7577192994304066,11.7127869188455
R1,NN_Fold_5,14.715114483398645,18.795814931151117,0.7338354649158125,12.532965193744324
R1,YEAR_GROUPED_BLENDER_V2,15.160048865653012,19.223473218950108,0.7657774451957722,11.077377420246313
R3,XGB_Fold_1,13.073610416977724,17.585340736516496,0.8038498498214913,13.550566933332838
R3,LGBM_Fold_1,13.111563450069465,17.60502281541791,0.8034105289953593,13.43712925409892
R3,NN_Fold_1,12.808274221885323,16.537823228109033,0.8265222580740308,12.25345402078876
R3,XGB_Fold_2,12.771013051657292,16.776252487181832,0.7983124652354809,11.576592254666204
R3,LGBM_Fold_2,12.736443081018692,16.775184820318415,0.7983381358369058,11.55011099385805
R3,NN_Fold_2,13.665987936310911,17.82590181989561,0.7722847214679897,12.258866887214927
R3,XGB_Fold_3,12.541060534744899,16.34477727558916,0.7978853711139635,11.073673393473767
R3,LGBM_Fold_3,12.573678988949533,16.38608455785696,0.7968624932086134,11.105741668256593
R3,NN_Fold_3,13.234020054086187,17.045881806158985,0.7801741910026593,11.562787570614669
R3,XGB_Fold_4,13.001592759787885,16.826665395120983,0.8481676101666283,12.475701611849626
R3,LGBM_Fold_4,13.016962632360993,16.849238279165014,0.8477599722064671,12.459802150542625
R3,NN_Fold_4,13.597355336186828,17.419071426882134,0.8372884768936595,13.172192009532537
R3,XGB_Fold_5,11.976052600413448,15.661170307820758,0.8152109247907848,9.877722793895495
R3,LGBM_Fold_5,12.119891838743122,15.849322441208136,0.8107441690022534,9.959639602031139
R3,NN_Fold_5,12.716655311655497,16.32617783581603,0.7991846470074423,10.876195346170176
R3,YEAR_GROUPED_BLENDER_V2,13.562626689813118,17.831061253327412,0.798479429667816,10.429947594578017
